N	Axis1	Axis2	Axis3	Axis4	Axis5	color	text
2727	-0.197772859	-0.082503833	0.052761394	-0.009801312	0.037604049	"#0d34f6"	cult
453	-0.199975135	-0.082767742	0.055135017	-0.011437717	0.038508142	"#0d34f6"	cult
344	-0.200356498	-0.078953281	0.054241498	-0.012622448	0.037720795	"#0d34f6"	cult
2721	-0.200364711	-0.083076854	0.052937746	-0.011408698	0.038023686	"#0d34f6"	cult
454	-0.199903327	-0.086874376	0.053019175	-0.010932988	0.041031381	"#0d34f6"	cult
2715	-0.200762011	-0.079777107	0.05377734	-0.012437858	0.037051102	"#0d34f6"	cult
246	-0.158357449	-0.066699293	0.030761625	0.009587957	0.028070854	"#0d34f6"	cult
2640	-0.169455464	-0.07014704	0.038278342	0.014279324	0.026817541	"#0d34f6"	cult
2906	-0.192614977	-0.089552714	0.047651094	-0.011052831	0.043942466	"#0d34f6"	cult
2656	-0.20270535	-0.084777019	0.055742332	-0.014575492	0.040654931	"#0d34f6"	cult
2709	-0.20264552	-0.085355107	0.054086655	-0.015131117	0.040543573	"#0d34f6"	cult
2737	-0.203375496	-0.086354975	0.054226926	-0.014520098	0.0409988	"#0d34f6"	cult
140	-0.180241705	-0.080626402	0.038848375	0.019538267	0.027397654	"#0d34f6"	cult
102	-0.164594017	-0.077759272	0.035903587	-0.005089	0.036632474	"#0d34f6"	cult
2658	-0.166709152	-0.079696029	0.035776985	-0.003653954	0.038893238	"#0d34f6"	cult
2824	-0.215031201	-0.068112807	0.055550245	-0.008467364	0.027981347	"#0d34f6"	cult
2642	-0.217058484	-0.070778386	0.054506721	-0.006332474	0.02807301	"#0d34f6"	cult
2649	-0.218010692	-0.069949268	0.054968752	-0.007186355	0.028506476	"#0d34f6"	cult
6	-0.219121649	-0.068441595	0.056737429	-0.007528496	0.028413186	"#0d34f6"	cult
2713	-0.217830619	-0.071023646	0.054548164	-0.006282046	0.028408074	"#0d34f6"	cult
2676	-0.21844355	-0.070993771	0.055681467	-0.006722858	0.029673861	"#0d34f6"	cult
2720	-0.219559087	-0.072295738	0.053954794	-0.005885106	0.031498636	"#0d34f6"	cult
2870	-0.213689056	-0.084648401	0.051070011	0.010233717	0.037899631	"#0d34f6"	cult
2846	-0.219995285	-0.086378893	0.052843949	0.012012497	0.037388798	"#0d34f6"	cult
2785	-0.221234268	-0.089895477	0.050805089	0.01241088	0.038882556	"#0d34f6"	cult
2701	-0.221714922	-0.087141096	0.052413591	0.010213392	0.035729006	"#0d34f6"	cult
2712	-0.221248658	-0.086291412	0.053101668	0.010564435	0.036177621	"#0d34f6"	cult
2789	-0.221749719	-0.085756041	0.053037989	0.010985898	0.035931027	"#0d34f6"	cult
2879	-0.215978238	-0.092282235	0.049650611	0.012903302	0.039687815	"#0d34f6"	cult
2834	-0.215984442	-0.090970755	0.050008637	0.012952854	0.038905607	"#0d34f6"	cult
2881	-0.215405611	-0.090448626	0.051275253	0.013531715	0.038649078	"#0d34f6"	cult
2821	-0.22156418	-0.087594093	0.052777957	0.011578874	0.038772722	"#0d34f6"	cult
2873	-0.215425223	-0.090913545	0.051234152	0.013030757	0.038745045	"#0d34f6"	cult
