k21	k22	k31	k32	k33	k41	k42	k43	k44	k51	k52	k53	k54	k55	k61	k62	k63	k64	k65	k66	k71	k72	k73	k74	k75	k76	k77	k81	k82	k83	k84	k85	k86	k87	k88	k91	k92	k93	k94	k95	k96	k97	k98	k99
0.9999	0.0001	0.00412362	0.995776	1.00E-04	0.0894064	0.0136145	0.896879	1.00E-04	0.0861949	0.0237877	1.00E-04	0.0818022	0.808115	0.0869088	0.0111778	0.0183347	0.808311	0.0751672	1.00E-04	0.0235519	0.00373801	0.00350331	0.0320902	1.00E-04	0.0194382	0.917578	0.00929682	0.00787609	0.0302991	0.920173	1.00E-04	0.0111261	0.021029	1.00E-04	0.0307981	0.015545	0.00786011	0.00415904	0.900795	0.0069269	0.021687	1.00E-04	0.0121291
0.9999	0.0001	0.00966059	0.990239	1.00E-04	0.0931846	0.0203643	0.886351	1.00E-04	0.0898206	0.0295527	1.00E-04	0.0817524	0.798774	0.0858159	0.0131874	0.02221	0.792601	0.0860858	1.00E-04	0.0213949	0.00403405	0.00955004	0.0278079	0.00263511	0.0240977	0.91048	0.00965453	0.00706286	0.0311038	0.910691	1.00E-04	0.015799	0.0254885	1.00E-04	0.0304828	0.0177754	0.0156315	0.00426254	0.897911	1.00E-04	0.0248373	0.000278129	0.00872131
0.990801	0.00919926	0.0171773	0.97333	0.00949268	0.100071	0.0244745	0.875354	1.00E-04	0.0992277	0.0355025	1.00E-04	0.0913597	0.77381	0.0969441	0.0176243	0.026435	0.773447	0.08545	1.00E-04	0.0285686	0.00945186	0.0127444	0.0242206	0.0132216	0.0273159	0.884477	0.0118694	0.0108479	0.0399743	0.8867	0.00377003	0.0180451	0.0286928	1.00E-04	0.0434084	0.0209546	0.0167048	0.00940978	0.868106	1.00E-04	0.0280089	0.00283859	0.0104686
0.998244	0.00175554	0.0168802	0.982419	0.00070127	0.0978082	0.0224613	0.87963	1.00E-04	0.0886855	0.0314925	1.00E-04	0.0901511	0.789571	0.0877887	0.0166046	0.0238169	0.787165	0.0845245	1.00E-04	0.0223537	0.00984685	0.00778053	0.0320652	0.0106737	0.0241772	0.893103	0.0160616	0.0110758	0.0288379	0.890777	0.00198846	0.0172772	0.0263847	0.00759731	0.0292596	0.0212682	0.0112939	0.00938653	0.883499	0.00652365	0.026047	1.00E-04	0.0126225
0.999382	0.000617547	0.0104022	0.983518	0.00608005	0.0910733	0.0172227	0.891604	1.00E-04	0.0865123	0.0291506	1.00E-04	0.0796961	0.804541	0.0823661	0.0126167	0.0240379	0.799187	0.081692	1.00E-04	0.0201984	0.00521298	0.00882813	0.0362003	0.00211616	0.025602	0.901842	0.00669823	0.00801633	0.029926	0.901875	1.00E-04	0.0136626	0.0277781	0.0119442	0.0357952	0.014378	0.0139343	0.0060732	0.886249	0.0113526	0.0270807	1.00E-04	0.00503738
0.99654	0.00345978	0.0132583	0.986642	1.00E-04	0.0880176	0.0207639	0.891119	1.00E-04	0.0923514	0.0295934	1.00E-04	0.0825409	0.795414	0.0893015	0.0129129	0.024173	0.795243	0.0782695	1.00E-04	0.024121	0.00627422	0.0100225	0.0293943	0.000893462	0.0263669	0.902928	0.0053416	0.00878977	0.0346698	0.904737	1.00E-04	0.0128352	0.0293676	0.00415862	0.0393748	0.0126116	0.0141768	0.00707965	0.888521	0.00296742	0.0270825	1.00E-04	0.00808657
0.9999	0.0001	0.00184613	0.998054	1.00E-04	0.0897235	0.00941093	0.900766	1.00E-04	0.0878515	0.0209459	1.00E-04	0.0825854	0.808517	0.0834906	0.00962029	0.0174396	0.80893	0.0804201	1.00E-04	0.0229049	0.00135837	0.00192721	0.0272459	0.00222377	0.0186119	0.925728	0.00829169	0.0059254	0.0314586	0.923762	1.00E-04	0.00845247	0.020907	0.00110257	0.0342002	0.0124228	0.00901139	0.0030322	0.912452	1.00E-04	0.0231628	1.00E-04	0.0055188
0.997326	0.00267444	0.0111632	0.987998	0.000838724	0.0824327	0.0229707	0.894497	1.00E-04	0.0938958	0.0321661	1.00E-04	0.0743292	0.799509	0.0934501	0.0141344	0.026082	0.794999	0.0712347	1.00E-04	0.0290135	0.00701233	0.00296677	0.029835	1.00E-04	0.0264803	0.904592	0.0116456	0.00780915	0.0338847	0.905175	1.00E-04	0.0101677	0.0304162	0.000801457	0.0382534	0.0118859	0.0113367	0.00440543	0.892098	0.00119296	0.0288502	1.00E-04	0.0118771
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0873139	0.00282949	0.909757	1.00E-04	0.0912444	0.0154508	1.00E-04	0.0778192	0.815386	0.0897373	0.00952529	0.0125055	0.814502	0.0736301	1.00E-04	0.0254273	0.00278311	0.00448576	0.0241828	1.00E-04	0.0138238	0.929197	0.0120827	0.00281269	0.0344705	0.923653	1.00E-04	0.0107611	0.0156801	0.000439779	0.0345908	0.0105522	0.0117236	0.00224864	0.915318	1.00E-04	0.017117	1.00E-04	0.00824973
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0891616	0.00800006	0.902738	1.00E-04	0.0848731	0.0192793	1.00E-04	0.0845115	0.811236	0.0860122	0.0102499	0.0151842	0.807097	0.0813568	1.00E-04	0.0239982	0.00653713	1.00E-04	0.0351461	0.000854677	0.0147718	0.918592	0.0110593	0.00727031	0.0364326	0.913488	1.00E-04	0.00228726	0.0183089	0.011054	0.0331637	0.0143839	0.00706273	0.0047834	0.901287	0.00896337	0.018116	1.00E-04	0.0121399
